id,type,name,region,status,parent_id,child_ids,capacity,coordinates,attributes,synthetic
syn-router-01-agg-01,router,Aggregation Router 1,Synthetic Region 1,active,syn-region-01,"[""syn-upf-01-01""]","{""gbps"": 400}",,{},True
syn-segment-01-01,customer_segment,Synthetic Customer Segment 1,Synthetic Region 1,active,syn-slice-01-embb,[],{},,"{""segment"": ""consumer""}",True
syn-segment-01-02,customer_segment,Synthetic Customer Segment 2,Synthetic Region 1,active,syn-slice-01-urllc,[],{},,"{""segment"": ""enterprise""}",True
syn-segment-01-03,customer_segment,Synthetic Customer Segment 3,Synthetic Region 1,active,syn-slice-01-miot,[],{},,"{""segment"": ""iot""}",True
syn-site-01-001,site,Synthetic Site R1S1,Synthetic Region 1,active,syn-market-01-01,"[""syn-gnb-01-001""]","{""sectors"": 2}","{""latitude"": 14.38751, ""longitude"": 72.36161}",{},True
syn-site-01-002,site,Synthetic Site R1S2,Synthetic Region 1,active,syn-market-01-01,"[""syn-gnb-01-002""]","{""sectors"": 2}","{""latitude"": 14.46096, ""longitude"": 72.2649}",{},True
syn-slice-01-embb,service_slice,Synthetic EMBB Slice,Synthetic Region 1,active,syn-upf-01-01,"[""syn-nssf-01-01"", ""syn-pcf-01-01"", ""syn-segment-01-01"", ""syn-smf-01-01"", ""syn-upf-01-01""]","{""sla_target_pct"": 99.5}",,"{""slice_type"": ""embb""}",True
syn-slice-01-miot,service_slice,Synthetic MIOT Slice,Synthetic Region 1,active,syn-upf-01-01,"[""syn-nssf-01-01"", ""syn-pcf-01-01"", ""syn-segment-01-03"", ""syn-smf-01-01"", ""syn-upf-01-01""]","{""sla_target_pct"": 99.5}",,"{""slice_type"": ""miot""}",True
syn-slice-01-urllc,service_slice,Synthetic URLLC Slice,Synthetic Region 1,active,syn-upf-01-01,"[""syn-nssf-01-01"", ""syn-pcf-01-01"", ""syn-segment-01-02"", ""syn-smf-01-01"", ""syn-upf-01-01""]","{""sla_target_pct"": 99.5}",,"{""slice_type"": ""urllc""}",True
syn-smf-01-01,smf,SMF 1,Synthetic Region 1,active,syn-k8s-01-edge,"[""syn-amf-01-01"", ""syn-pod-smf-01-01"", ""syn-pod-smf-01-02""]","{""sessions"": 100000}",,{},True
syn-upf-01-01,upf,UPF 1,Synthetic Region 1,active,syn-k8s-01-edge,"[""syn-pod-upf-01-01"", ""syn-pod-upf-01-02"", ""syn-smf-01-01""]","{""sessions"": 100000}",,{},True
